title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
Margao locals raise concern over spurt in illegal shops,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'Margao locals raise concern over spurt in illegal shops'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/margao-locals-raise-concern-over-spurt-in-illegal-shops/articleshow/113918172.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918172,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/margao-locals-raise-concern-over-spurt-in-illegal-shops/articleshow/113918172.cms,https://timesofindia.indiatimes.com/city/goa/margao-locals-raise-concern-over-spurt-in-illegal-shops/articleshow/113918172.cms,False,2024-10-04T00:42:22+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=12, tm_sec=22, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Goa,,,,2024-10-04 11:13:17.574454
Green push: E-carriage to move St Xavier’s relics to Se Cathedral,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'Green push: E-carriage to move St Xavier’s relics to Se Cathedral'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/green-push-e-carriage-to-move-st-xaviers-relics-to-se-cathedral/articleshow/113918144.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918144,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/green-push-e-carriage-to-move-st-xaviers-relics-to-se-cathedral/articleshow/113918144.cms,https://timesofindia.indiatimes.com/city/goa/green-push-e-carriage-to-move-st-xaviers-relics-to-se-cathedral/articleshow/113918144.cms,False,2024-10-04T00:40:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=10, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Lisa Monteiro'}],Lisa Monteiro,{'name': 'Lisa Monteiro'},Times of India,Goa,,,,2024-10-04 11:13:17.574454
SC dismisses retd Goa judge’s plea to regain Rera post,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'SC dismisses retd Goa judge’s plea to regain Rera post'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/sc-dismisses-retd-goa-judges-plea-to-regain-rera-post/articleshow/113918150.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918150,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/sc-dismisses-retd-goa-judges-plea-to-regain-rera-post/articleshow/113918150.cms,https://timesofindia.indiatimes.com/city/goa/sc-dismisses-retd-goa-judges-plea-to-regain-rera-post/articleshow/113918150.cms,False,2024-10-04T00:38:59+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=8, tm_sec=59, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Goa,,,,2024-10-04 11:13:17.574454
"Unable to meet transport chief, bus owner files missing plaint","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'Unable to meet transport chief, bus owner files missing plaint'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/unable-to-meet-transport-chief-bus-owner-files-missing-plaint/articleshow/113918126.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918126,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/unable-to-meet-transport-chief-bus-owner-files-missing-plaint/articleshow/113918126.cms,https://timesofindia.indiatimes.com/city/goa/unable-to-meet-transport-chief-bus-owner-files-missing-plaint/articleshow/113918126.cms,False,2024-10-04T00:36:34+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=6, tm_sec=34, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Nida Sayed'}],Nida Sayed,{'name': 'Nida Sayed'},Times of India,Goa,,,,2024-10-04 11:13:17.574454
Pilgrim village at Old Goa to house 200 SFX devotees,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'Pilgrim village at Old Goa to house 200 SFX devotees'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/pilgrim-village-at-old-goa-to-house-200-sfx-devotees/articleshow/113918108.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918108,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/pilgrim-village-at-old-goa-to-house-200-sfx-devotees/articleshow/113918108.cms,https://timesofindia.indiatimes.com/city/goa/pilgrim-village-at-old-goa-to-house-200-sfx-devotees/articleshow/113918108.cms,False,2024-10-04T00:34:46+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=4, tm_sec=46, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Goa,,,,2024-10-04 11:13:17.574454
Citizens to survey dragonflies near Goa’s first Ramsar site & at Carambolim Lake,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'Citizens to survey dragonflies near Goa’s first Ramsar site & at Carambolim Lake'}","<a href=""https://timesofindia.indiatimes.com/city/goa/citizens-to-survey-dragonflies-near-goas-first-ramsar-site-at-carambolim-lake/articleshow/113918094.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918094.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/goa/citizens-to-survey-dragonflies-near-goas-first-ramsar-site-at-carambolim-lake/articleshow/113918094.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918094.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/citizens-to-survey-dragonflies-near-goas-first-ramsar-site-at-carambolim-lake/articleshow/113918094.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918091,imgsize-194948.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/citizens-to-survey-dragonflies-near-goas-first-ramsar-site-at-carambolim-lake/articleshow/113918094.cms,https://timesofindia.indiatimes.com/city/goa/citizens-to-survey-dragonflies-near-goas-first-ramsar-site-at-carambolim-lake/articleshow/113918094.cms,False,2024-10-04T00:32:52+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=2, tm_sec=52, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Gauree Malkarnekar'}],Gauree Malkarnekar,{'name': 'Gauree Malkarnekar'},Times of India,Goa,,,,2024-10-04 11:13:17.574454
Govt promises to act over claim of assault at Cuncolim school,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'Govt promises to act over claim of assault at Cuncolim school'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/govt-promises-to-act-over-claim-of-assault-at-cuncolim-school/articleshow/113918093.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918093,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/govt-promises-to-act-over-claim-of-assault-at-cuncolim-school/articleshow/113918093.cms,https://timesofindia.indiatimes.com/city/goa/govt-promises-to-act-over-claim-of-assault-at-cuncolim-school/articleshow/113918093.cms,False,2024-10-04T00:32:52+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=2, tm_sec=52, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Goa,,,,2024-10-04 11:13:17.574454
‘Communal hate’ complaints pile up against Velingkar,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': '‘Communal hate’ complaints pile up against Velingkar'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/communal-hate-complaints-pile-up-against-velingkar/articleshow/113918071.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918071,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/communal-hate-complaints-pile-up-against-velingkar/articleshow/113918071.cms,https://timesofindia.indiatimes.com/city/goa/communal-hate-complaints-pile-up-against-velingkar/articleshow/113918071.cms,False,2024-10-04T00:30:36+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=19, tm_min=0, tm_sec=36, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Times News Network'}],Times News Network,{'name': 'Times News Network'},Times of India,Goa,,,,2024-10-04 11:13:17.574454
State lost 90sqkm of tree cover in 10 years: Centre,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'State lost 90sqkm of tree cover in 10 years: Centre'}","<a href=""https://timesofindia.indiatimes.com/city/goa/state-lost-90sqkm-of-tree-cover-in-10-years-centre/articleshow/113918066.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918066.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>","{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': '<a href=""https://timesofindia.indiatimes.com/city/goa/state-lost-90sqkm-of-tree-cover-in-10-years-centre/articleshow/113918066.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/113918066.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/state-lost-90sqkm-of-tree-cover-in-10-years-centre/articleshow/113918066.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918056,imgsize-126242.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/state-lost-90sqkm-of-tree-cover-in-10-years-centre/articleshow/113918066.cms,https://timesofindia.indiatimes.com/city/goa/state-lost-90sqkm-of-tree-cover-in-10-years-centre/articleshow/113918066.cms,False,2024-10-04T00:29:09+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=59, tm_sec=9, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Paul Fernandes and Nida Sayed'}],Paul Fernandes and Nida Sayed,{'name': 'Paul Fernandes and Nida Sayed'},Times of India,Goa,,,,2024-10-04 11:13:17.574454
Panaji becoming unsafe around casino operating areas: Citizens,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': 'Panaji becoming unsafe around casino operating areas: Citizens'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/3012535.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/goa/panaji-becoming-unsafe-around-casino-operating-areas-citizens/articleshow/113918030.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113918030,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/goa/panaji-becoming-unsafe-around-casino-operating-areas-citizens/articleshow/113918030.cms,https://timesofindia.indiatimes.com/city/goa/panaji-becoming-unsafe-around-casino-operating-areas-citizens/articleshow/113918030.cms,False,2024-10-04T00:28:03+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=58, tm_sec=3, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Times News Network'}],Times News Network,{'name': 'Times News Network'},Times of India,Goa,,,,2024-10-04 11:13:17.574454
