title,title_detail,summary,summary_detail,links,link,id,guidislink,published,published_parsed,authors,author,author_detail,Name,Section,Language,Twitter_URL,FB_URL,Fetched_At
"Gold price touches record high of Rs 78,500/10g","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'Gold price touches record high of Rs 78,500/10g'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/gold-prices-surge-to-record-high-of-rs-78500-amid-geopolitical-tensions/articleshow/113944227.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113944227,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/gold-prices-surge-to-record-high-of-rs-78500-amid-geopolitical-tensions/articleshow/113944227.cms,https://timesofindia.indiatimes.com/city/ahmedabad/gold-prices-surge-to-record-high-of-rs-78500-amid-geopolitical-tensions/articleshow/113944227.cms,False,2024-10-04T19:30:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=14, tm_min=0, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
Stakeholders weigh in on national GM crops policy at a meeting in Ahmedabad,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'Stakeholders weigh in on national GM crops policy at a meeting in Ahmedabad'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/intense-debate-on-national-gm-crops-policy-at-ahmedabad-meeting/articleshow/113943834.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113943834,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/intense-debate-on-national-gm-crops-policy-at-ahmedabad-meeting/articleshow/113943834.cms,https://timesofindia.indiatimes.com/city/ahmedabad/intense-debate-on-national-gm-crops-policy-at-ahmedabad-meeting/articleshow/113943834.cms,False,2024-10-04T19:12:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=42, tm_sec=40, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
GERC raises power load limit for LT category to 150 kW,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'GERC raises power load limit for LT category to 150 kW'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/gerc-increases-low-tension-power-load-limit-to-150-kw-boosting-industrial-growth/articleshow/113943585.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113943585,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/gerc-increases-low-tension-power-load-limit-to-150-kw-boosting-industrial-growth/articleshow/113943585.cms,https://timesofindia.indiatimes.com/city/ahmedabad/gerc-increases-low-tension-power-load-limit-to-150-kw-boosting-industrial-growth/articleshow/113943585.cms,False,2024-10-04T19:00:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=4, tm_hour=13, tm_min=30, tm_sec=41, tm_wday=4, tm_yday=278, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
Garba-tanko bushi fusion this Navratri!,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'Garba-tanko bushi fusion this Navratri!'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/innovative-garba-tanko-bushi-fusion-dances-to-spotlight-cultural-exchange-at-navratri/articleshow/113917799.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917799,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/innovative-garba-tanko-bushi-fusion-dances-to-spotlight-cultural-exchange-at-navratri/articleshow/113917799.cms,https://timesofindia.indiatimes.com/city/ahmedabad/innovative-garba-tanko-bushi-fusion-dances-to-spotlight-cultural-exchange-at-navratri/articleshow/113917799.cms,False,2024-10-04T00:09:49+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=39, tm_sec=49, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
Visa delays cast a shadow on Diwali travel plans,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'Visa delays cast a shadow on Diwali travel plans'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/visa-delays-disrupt-diwali-travel-plans-as-tourists-face-long-waits/articleshow/113917797.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917797,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/visa-delays-disrupt-diwali-travel-plans-as-tourists-face-long-waits/articleshow/113917797.cms,https://timesofindia.indiatimes.com/city/ahmedabad/visa-delays-disrupt-diwali-travel-plans-as-tourists-face-long-waits/articleshow/113917797.cms,False,2024-10-04T00:09:46+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=39, tm_sec=46, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
"AMC, SRFDCL plan water transportation service from Vasna Barrage to GIFT City","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'AMC, SRFDCL plan water transportation service from Vasna Barrage to GIFT City'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-launches-water-transport-service-from-vasna-barrage-to-gift-city/articleshow/113917794.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917794,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-launches-water-transport-service-from-vasna-barrage-to-gift-city/articleshow/113917794.cms,https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-launches-water-transport-service-from-vasna-barrage-to-gift-city/articleshow/113917794.cms,False,2024-10-04T00:09:41+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=39, tm_sec=41, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Jignesh Parmar'}],Jignesh Parmar,{'name': 'Jignesh Parmar'},Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
Parts of city to face water cut today,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'Parts of city to face water cut today'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/citywide-water-disruption-due-to-maintenance-at-kotarpur-treatment-plant/articleshow/113917792.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917792,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/citywide-water-disruption-due-to-maintenance-at-kotarpur-treatment-plant/articleshow/113917792.cms,https://timesofindia.indiatimes.com/city/ahmedabad/citywide-water-disruption-due-to-maintenance-at-kotarpur-treatment-plant/articleshow/113917792.cms,False,2024-10-04T00:09:40+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=39, tm_sec=40, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
"Custodial assault case: 5 Odisha cops brought to DFS for narcoanalysis, psychoanalysis","{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'Custodial assault case: 5 Odisha cops brought to DFS for narcoanalysis, psychoanalysis'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/5-odisha-police-officers-undergo-narcoanalysis-in-custodial-assault-case/articleshow/113917780.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917780,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/5-odisha-police-officers-undergo-narcoanalysis-in-custodial-assault-case/articleshow/113917780.cms,https://timesofindia.indiatimes.com/city/ahmedabad/5-odisha-police-officers-undergo-narcoanalysis-in-custodial-assault-case/articleshow/113917780.cms,False,2024-10-04T00:07:38+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=37, tm_sec=38, tm_wday=3, tm_yday=277, tm_isdst=0)",[{'name': 'Parth Shastri'}],Parth Shastri,{'name': 'Parth Shastri'},Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
66 days of extremely heavy rainfall events in Guj this yr,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': '66 days of extremely heavy rainfall events in Guj this yr'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-experiences-unprecedented-66-days-of-extreme-rainfall-in-2024/articleshow/113917674.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917674,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-experiences-unprecedented-66-days-of-extreme-rainfall-in-2024/articleshow/113917674.cms,https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-experiences-unprecedented-66-days-of-extreme-rainfall-in-2024/articleshow/113917674.cms,False,2024-10-04T00:06:54+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=36, tm_sec=54, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
Minimum temp in city higher than normal,"{'type': 'text/plain', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': 'Minimum temp in city higher than normal'}",,"{'type': 'text/html', 'language': 'en-IN', 'base': 'https://timesofindia.indiatimes.com/rssfeeds/-2128821153.cms', 'value': ''}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/city/ahmedabad/unseasonably-high-temperatures-hit-ahmedabad-as-navratri-begins/articleshow/113917648.cms'}, {'type': 'image/jpeg', 'href': 'https://static.toiimg.com/photo/msid-113917648,imgsize-.cms', 'rel': 'enclosure'}]",https://timesofindia.indiatimes.com/city/ahmedabad/unseasonably-high-temperatures-hit-ahmedabad-as-navratri-begins/articleshow/113917648.cms,https://timesofindia.indiatimes.com/city/ahmedabad/unseasonably-high-temperatures-hit-ahmedabad-as-navratri-begins/articleshow/113917648.cms,False,2024-10-04T00:06:47+05:30,"time.struct_time(tm_year=2024, tm_mon=10, tm_mday=3, tm_hour=18, tm_min=36, tm_sec=47, tm_wday=3, tm_yday=277, tm_isdst=0)",,,,Times of India,Ahmedabad,,,,2024-10-04 11:13:15.967896
